developer-agreement,developer-agreement-type,entry-date,start-date,end-date,planning-application,document-url,csrf_token
ftyuk,vfk,2019-06-05,2019-06-05,2019-06-14,vghl,https://docs.python.org/2/library/urlparse.html,ImUzMDI5YTJiOTI5MDBmMWNmZDA0MjkwMTc0ZDUxMDRiNzQxYzBiYTQi.XPZ-Vw.bZfLtFN4o_cMR7ZB1uqa6ulhFzw
cvghk,cvghuk,2019-06-05,2019-06-05,2019-06-05,"vhbj,l",https://docs.python.org/2/library/urlparse.html,ImUzMDI5YTJiOTI5MDBmMWNmZDA0MjkwMTc0ZDUxMDRiNzQxYzBiYTQi.XPZ-mg.VsXb6BTQf2bOlVT8fvZ0eUGuASA
vftyi,ftyu,2019-06-05,,,dfrtyty,https://docs.python.org/2/library/urlparse.html,ImUzMDI5YTJiOTI5MDBmMWNmZDA0MjkwMTc0ZDUxMDRiNzQxYzBiYTQi.XPaIrg.QuiADtDC-Xw9qnxZo9b0WdeB2tE
vftyi,ftyu,2019-06-05,,,dfrtyty,https://docs.python.org/2/library/urlparse.html,ImUzMDI5YTJiOTI5MDBmMWNmZDA0MjkwMTc0ZDUxMDRiNzQxYzBiYTQi.XPaKnQ.PioSg4OikxqbQ3VoHEqgMas0qsk
vftyi,ftyu,2019-06-05,,,dfrtyty,https://docs.python.org/2/library/urlparse.html,ImUzMDI5YTJiOTI5MDBmMWNmZDA0MjkwMTc0ZDUxMDRiNzQxYzBiYTQi.XPaKrA.qA9jxbNpp1kLn5JlRyfOY_lNPN0
vftyi,ftyu,2019-06-05,,,dfrtyty,https://docs.python.org/2/library/urlparse.html,ImUzMDI5YTJiOTI5MDBmMWNmZDA0MjkwMTc0ZDUxMDRiNzQxYzBiYTQi.XPaK_w.dy671PD4pGmZIbrmlk2blKgyqgc
vftyi,ftyu,2019-06-05,,,dfrtyty,https://docs.python.org/2/library/urlparse.html,ImUzMDI5YTJiOTI5MDBmMWNmZDA0MjkwMTc0ZDUxMDRiNzQxYzBiYTQi.XPaLGw.l_LOF30MKIkpRzrjM5WaCsPsB6U
grergew,grwergew,2019-06-13,2019-05-30,2019-06-21, hmcghk,https://docs.python.org/2/library/urlparse.html,ImUzMDI5YTJiOTI5MDBmMWNmZDA0MjkwMTc0ZDUxMDRiNzQxYzBiYTQi.XPaZMA.ocq4bllD1jF6IOWcUAemWsdypUw
grergew,grwergew,2019-06-13,2019-05-30,2019-06-21, hmcghk,https://docs.python.org/2/library/urlparse.html,ImUzMDI5YTJiOTI5MDBmMWNmZDA0MjkwMTc0ZDUxMDRiNzQxYzBiYTQi.XPaZ2Q.iXJQR8Pcyg-5MgAy98YN9iYf4EI
Christine ,grwergew,2019-06-13,2019-05-30,2019-06-21, hmcghk,https://docs.python.org/2/library/urlparse.html,ImUzMDI5YTJiOTI5MDBmMWNmZDA0MjkwMTc0ZDUxMDRiNzQxYzBiYTQi.XPaZ6Q.ovEqciVFzBLOLfrXz2bRpx5wZNg
